Data,Cliente,Fazenda,Talhão,Gleba,Profundidade,Ponto,SB,Mg,B,S,Ca/Mg,Ca/K,Argila,pH H2O,pH CaCl,K,Silte,Mn,Cu,T,Fe,K/Mg,Areia,MO,V %,Zn,Al,m %,Ca,H + Al,P res,y,x
05/05/2025,glauber,ribeirao,pivo,gener,0-42,23,4.47,0.95,,2.6,3.6,34.31,50.55,5.97,5.54,38.98,28.36,,,7.37,,9.53,21.09,3.21,60.65,,0,0,3.42,2.9,108.78,-19.39907786,-47.39068549
05/05/2025,glauber,ribeirao,pivo,gener,0-43,24,4.2,1.11,,1.8,2.69,30.76,52.21,6.15,5.75,38.01,28.34,,,6.1,,11.42,19.45,2.6,68.85,,0,0,2.99,1.9,71.28,-19.39896248,-47.39232894
05/05/2025,glauber,ribeirao,pivo,gener,0-44,25,4.29,1.1,,3.3,2.8,27.31,50.55,6.46,5.73,44.1,26.68,,,6.49,,9.75,22.77,2.47,66.1,,0,0,3.08,2.2,117.77,-19.39831022,-47.3937755
05/05/2025,glauber,ribeirao,pivo,gener,0-45,26,3.98,0.99,,3,2.86,17.41,47.23,6.43,5.77,63.56,30,,,6.18,,6.09,22.77,2.75,64.4,,0,0,2.83,2.2,32.75,-19.39981643,-47.3937412
05/05/2025,glauber,ribeirao,pivo,gener,0-46,27,4.39,1.03,0.5,4,3.13,22.85,50.55,6.66,5.74,55.09,28.36,5.06,0.53,7.19,27.21,7.31,21.09,3.17,61.06,1.92,0,0,3.22,2.8,113.65,-19.40042971,-47.3918699
05/05/2025,glauber,ribeirao,pivo,gener,0-47,28,3.8,0.77,,6.2,3.79,25.47,53.91,6.28,5.45,44.83,23.32,,,6.4,,6.72,22.77,2.93,59.38,,0,0,2.92,2.6,46.62,-19.40069641,-47.39007403
05/05/2025,glauber,ribeirao,pivo,gener,0-48,29,4.36,1.03,,2.4,3.14,31.99,50.55,6.31,5.94,39.48,28.36,,,6.36,,10.2,21.09,2.66,68.55,,0,0,3.23,2,51.01,-19.40095883,-47.38836989
05/05/2025,glauber,ribeirao,pivo,gener,0-49,30,4.56,1.12,,8.4,2.99,37.86,53.91,6.27,5.67,34.6,23.32,,,7.16,,12.66,22.77,3.13,63.69,,0,0,3.35,2.6,60.18,-19.39996295,-47.38565331
05/05/2025,glauber,ribeirao,pivo,gener,0-50,31,3.98,1.05,,17.9,2.75,67.34,53.91,6.3,5.55,16.78,25,,,6.88,,24.47,21.09,2.86,57.85,,0,0,2.89,2.9,64.99,-19.40069279,-47.38394683
05/05/2025,glauber,ribeirao,pivo,gener,0-51,32,3.85,0.77,0.48,7.6,3.86,26.76,57.23,6.04,5.3,43.4,23.32,6.21,0.62,7.85,26.96,6.94,19.45,3.78,49.04,2.47,0,0,2.97,4,47.67,-19.40228455,-47.38456013
05/05/2025,glauber,ribeirao,pivo,gener,0-52,33,4.86,1.28,,8,2.7,26.71,53.91,6.53,5.87,50.51,20,,,7.26,,9.91,26.09,3.12,66.94,,0,0,3.45,2.4,146.18,-19.40139688,-47.38534941
05/05/2025,glauber,ribeirao,pivo,gener,0-53,34,2.24,0.52,,9.9,3,9.71,57.23,5.43,5.02,62.85,26.68,,,5.54,,3.24,16.09,1.95,40.43,,0.1,1.81,1.56,3.2,80.9,-19.40139861,-47.386745
05/05/2025,glauber,ribeirao,pivo,gener,0-54,35,4.48,1.14,,8.3,2.85,36.36,50.55,6,5.6,34.95,23.36,,,6.98,,12.75,26.09,3.8,64.18,,0,0,3.25,2.5,80.11,-19.40255271,-47.38785046
05/05/2025,glauber,ribeirao,pivo,gener,0-55,36,3.31,0.72,0.5,20.4,3.4,17.08,57.23,5.52,5.09,56.09,26.68,8.51,0.66,7.51,37.65,5.02,16.09,3.67,44.07,2.96,0.1,1.33,2.45,4.1,30.21,-19.40234246,-47.38953244
05/05/2025,glauber,ribeirao,pivo,gener,0-56,37,3.73,0.84,,9.5,3.32,26.84,57.23,6.23,5.59,40.64,20,,,6.23,,8.08,22.77,2.23,59.87,,0,0,2.79,2.5,45.07,-19.40183883,-47.39115777
05/05/2025,glauber,ribeirao,pivo,gener,0-57,38,4.6,1.16,,5.1,2.77,13.98,53.91,6.38,5.68,89.75,25,,,7.1,,5.05,21.09,3.21,64.79,,0,0,3.21,2.5,58.09,-19.40257022,-47.39246683
05/05/2025,glauber,ribeirao,pivo,gener,0-58,39,4.87,1.11,,2.5,3.35,87.2,50.55,6.55,5.77,16.68,28.36,,,6.97,,26.02,21.09,3.11,69.87,,0,0,3.72,2.1,84.93,-19.40125952,-47.39334698
05/05/2025,glauber,ribeirao,pivo,gener,0-59,40,5.08,1.22,,13.2,3.07,30.06,50.55,6.14,5.73,48.64,28.36,,,7.28,,9.81,21.09,2.93,69.78,,0,0,3.74,2.2,121.38,-19.403524,-47.39099429
05/05/2025,glauber,ribeirao,pivo,gener,0-60,41,4.23,1.01,,9.6,3.06,24.46,57.23,6.19,5.42,49.4,23.32,,,7.33,,7.99,19.45,3.32,57.71,,0,0,3.09,3.1,58.08,-19.40394048,-47.38934759
05/05/2025,glauber,ribeirao,pivo,gener,0-61,42,3.71,0.83,,11.2,3.34,24.7,53.91,6.12,5.4,43.85,29.96,,,6.61,,7.4,16.13,3.08,56.13,,0,0,2.77,2.9,82.93,-19.4039839,-47.38759439
05/05/2025,glauber,ribeirao,pivo,gener,0-62,43,5.25,1.39,,2.1,2.71,36.26,50.55,6.44,5.71,40.54,23.36,,,7.65,,13.41,26.09,3.29,68.63,,0,0,3.76,2.4,70.04,-19.40315066,-47.38602879
